metal,plain_pixel_AUROC,plain_best_Dice,shared_pixel_AUROC,shared_best_Dice
bracket_black,0.9594425163897538,0.03258624790376764,0.9411431050067851,0.017401224587640526
bracket_brown,0.6718967939073033,0.03357740068704196,0.8329790600038272,0.04503770237406807
bracket_white,0.9567699970840494,0.0068316013390233915,0.9362167906851349,0.005187078843980276
metal_plate,0.10916588528415258,0.19830531367339968,0.5582574631150153,0.25255791435628033
